,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
203.264,32,31,55,60,62,50,56,54,54,36
203.776,28,33,48,49,58,38,66,77,54,49
204.288,31,45,47,70,50,41,40,54,45,39
204.8,28,30,51,47,54,46,41,53,45,40
205.312,20,41,50,51,48,55,47,42,47,36
205.824,27,41,58,45,70,37,52,61,62,40
206.336,30,42,45,54,53,39,54,64,57,35
206.848,32,41,57,74,54,52,46,65,54,33
207.36,25,50,48,53,64,42,53,54,52,48
207.872,16,41,50,56,70,36,48,60,50,35
208.384,27,31,61,60,57,38,60,51,54,32
208.896,22,39,55,55,53,44,48,56,42,35
209.408,21,44,52,53,52,40,40,66,45,42
209.92,20,45,53,63,64,41,42,58,42,41
210.432,24,42,57,55,62,40,39,70,52,44
210.944,28,42,49,52,58,39,54,81,45,48
211.456,21,36,50,72,59,46,55,59,50,40
211.968,25,38,63,61,42,41,38,52,53,34
212.48,25,39,56,63,53,51,49,76,39,35
212.992,19,39,52,62,56,35,44,63,48,41
213.504,33,37,52,63,58,42,54,63,52,34
214.016,21,44,59,45,48,37,42,68,46,37
214.528,17,42,41,47,50,57,59,58,49,35
215.04,31,30,44,66,57,45,60,55,55,44
215.552,14,37,43,56,65,56,49,59,55,33
216.064,23,33,42,67,63,39,42,74,44,41
216.576,20,33,48,57,44,37,58,52,60,42
217.088,16,42,60,54,43,45,44,73,43,44
217.6,19,33,50,51,60,43,51,67,55,39
218.112,23,27,66,46,56,49,41,65,52,32
218.624,16,32,38,69,61,39,52,49,41,39
219.136,18,30,37,55,86,37,45,55,42,51
219.648,15,43,41,64,63,40,49,71,50,49
220.16,28,30,55,67,62,37,55,65,49,26
220.672,23,36,67,68,43,34,48,59,50,39
221.184,20,37,53,63,62,30,40,62,37,48
221.696,22,31,51,46,65,34,48,75,53,36
222.208,19,30,46,65,66,49,51,66,47,32
222.72,18,34,50,61,50,45,57,65,58,42
223.232,23,34,42,75,65,37,57,55,46,49
223.744,20,37,50,59,58,33,49,47,44,29
224.256,24,41,50,67,43,36,35,64,59,32
224.768,16,28,47,54,49,31,58,47,59,44
225.28,22,47,49,82,52,46,49,61,54,38
225.792,24,30,42,61,41,43,46,56,42,37
226.304,25,34,54,43,61,35,48,50,54,45
226.816,25,35,53,47,65,39,45,73,48,38
227.328,26,38,48,57,60,42,52,53,55,30
227.84,22,38,47,70,54,35,45,51,52,49
228.352,30,47,48,58,51,47,38,67,43,35
228.864,29,39,47,51,62,39,43,58,50,40
229.376,20,33,57,61,69,44,43,55,60,33
229.888,19,46,43,47,51,38,41,77,50,45
230.4,28,36,45,47,51,39,47,68,41,36
230.912,17,39,45,58,40,53,43,54,56,30
231.424,29,28,44,67,44,44,50,60,51,38
231.936,31,44,58,50,56,41,47,63,47,31
232.448,21,39,61,63,64,42,38,58,55,40
232.96,25,38,55,62,52,49,37,50,47,32
233.472,33,28,55,58,45,34,44,64,50,43
233.984,23,35,42,65,48,49,38,56,63,39
234.496,17,44,47,46,50,48,57,61,59,27
235.008,23,34,45,55,61,36,44,59,68,22
235.52,31,31,42,70,55,42,45,53,57,46
236.032,18,30,45,48,57,33,62,49,44,32
236.544,24,39,61,58,64,35,51,69,64,29
237.056,26,27,52,55,50,45,56,54,46,35
237.568,26,30,51,53,59,36,58,65,60,43
238.08,19,39,49,46,54,40,38,57,59,41
238.592,24,39,54,52,58,41,49,54,53,35
239.104,23,38,58,69,53,49,55,69,50,51
239.616,20,35,52,53,47,50,33,53,52,39
240.128,20,21,42,66,61,45,60,59,55,36
240.64,28,34,48,64,61,41,31,58,60,46
241.152,22,44,54,59,49,48,48,61,46,40
241.664,16,25,53,59,52,36,47,50,54,46
242.176,14,35,53,49,63,30,32,51,58,57
242.688,19,44,58,49,48,39,58,53,64,35
243.2,17,46,46,56,49,41,31,65,63,42
243.712,28,31,58,50,44,43,47,51,42,32
244.224,17,40,49,58,50,41,44,54,50,39
244.736,25,40,54,51,60,49,46,55,66,37
245.248,25,39,49,65,49,38,44,57,49,45
245.76,19,31,37,54,54,38,37,56,47,42
246.272,22,31,48,52,81,47,43,52,47,41
246.784,24,37,53,55,42,34,36,71,50,36
247.296,18,32,45,56,64,35,40,62,41,40
247.808,22,40,60,51,64,37,50,54,37,49
248.32,13,30,55,57,58,46,46,52,57,36
248.832,24,29,53,60,53,50,51,69,52,34
249.344,19,37,48,52,59,37,44,59,35,40
249.856,21,39,48,51,57,34,46,56,55,32
250.368,17,25,38,52,50,34,35,46,49,44
250.88,26,28,49,55,58,41,52,59,48,34
251.392,27,35,62,56,54,44,49,63,44,30
251.904,19,27,56,52,75,49,38,54,53,40
252.416,17,34,53,60,61,42,51,58,45,35
252.928,25,40,48,68,50,40,35,56,53,51
253.44,20,34,48,53,64,58,51,57,54,44
253.952,25,40,45,53,49,42,54,60,55,42
254.464,23,31,59,62,69,34,45,50,49,44
254.976,18,37,52,58,51,41,50,53,45,26
255.488,18,31,43,48,51,30,43,48,47,32
256,18,48,36,57,60,45,44,63,48,41
256.512,20,26,64,66,57,43,47,53,47,44
257.024,28,27,74,46,59,35,39,56,58,30
257.536,22,35,54,54,57,33,38,51,53,31
258.048,14,35,51,49,77,46,40,55,66,46
258.56,18,41,50,69,61,31,38,42,51,44
259.072,29,32,39,56,46,38,57,51,47,35
259.584,19,36,38,40,49,30,40,56,39,41
260.096,26,23,45,57,48,33,45,45,56,30
260.608,15,32,61,52,53,46,36,61,41,41
261.12,17,39,43,60,51,32,48,60,56,56
261.632,22,33,54,72,63,24,37,62,51,51
262.144,15,54,38,54,53,49,33,51,39,46
262.656,22,32,48,65,43,41,47,62,50,32
263.168,21,49,48,51,48,38,41,50,45,37
263.68,21,42,42,48,45,41,51,55,50,42
264.192,16,36,62,47,56,41,42,56,50,38
264.704,22,37,59,45,53,54,50,59,49,34
265.216,20,36,36,64,58,31,45,50,51,35
265.728,24,27,41,49,50,36,46,53,47,31
266.24,19,36,56,43,62,45,46,59,48,34
266.752,18,31,47,51,71,45,47,62,59,37
267.264,27,34,46,62,44,39,60,52,53,47
267.776,14,35,47,58,54,32,56,66,54,34
268.288,18,33,61,43,62,37,23,50,51,37
268.8,19,31,55,42,58,39,42,76,54,38
269.312,14,37,49,65,61,33,39,58,54,42
269.824,23,40,47,55,54,37,46,66,58,38
270.336,18,33,42,57,56,33,53,64,42,36
270.848,15,37,60,51,53,23,46,51,43,46
271.36,19,29,32,56,51,32,40,48,46,32
271.872,22,29,45,57,54,35,38,66,59,42
272.384,14,33,45,50,62,40,41,70,31,34
272.896,27,35,44,59,63,38,48,63,42,39
273.408,27,30,42,71,61,41,56,48,50,40
273.92,15,29,54,46,45,44,44,53,52,40
274.432,21,34,46,61,37,37,37,54,49,36
274.944,12,41,53,41,48,30,38,48,49,37
275.456,19,36,43,49,50,41,41,62,51,37
275.968,15,37,41,46,53,45,44,54,43,35
276.48,15,32,45,59,62,27,39,56,53,38
276.992,14,23,44,54,61,35,33,51,50,40
277.504,29,30,47,52,61,18,44,50,39,33
278.016,12,30,48,66,81,32,42,51,49,40
278.528,15,35,53,54,51,34,45,42,50,47
279.04,26,36,41,54,45,28,54,46,31,39
279.552,20,27,40,52,45,37,33,46,54,28
280.064,17,33,46,56,44,48,43,63,51,35
280.576,17,43,55,49,59,42,46,50,48,40
281.088,22,33,49,55,45,23,39,54,42,46
281.6,26,29,61,54,70,31,47,49,42,44
282.112,16,34,59,44,48,35,40,58,63,51
282.624,15,24,37,56,58,24,38,58,37,35
