#PicoHarp 300  Histogram Data			04/24/2023 03:02:16 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
25	32	28	35	27	
22	21	61	36	33	
27	38	43	65	50	
25	37	50	38	30	
26	34	41	50	17	
27	30	52	45	38	
29	26	49	36	42	
19	34	54	45	32	
24	31	47	63	47	
23	30	38	50	37	
20	28	52	42	27	
22	33	46	49	37	
23	35	42	31	42	
27	32	53	52	32	
24	31	44	60	33	
17	35	40	41	38	
17	34	58	42	42	
24	33	52	37	34	
28	35	45	54	46	
29	35	52	48	39	
17	38	42	47	46	
36	30	43	46	34	
19	35	47	36	36	
20	34	49	42	41	
24	18	39	40	36	
28	33	42	43	30	
27	28	48	33	32	
18	35	49	40	39	
27	37	34	42	31	
18	24	58	35	26	
23	30	38	50	31	
20	27	40	53	28	
21	38	48	48	40	
26	30	45	51	39	
24	35	34	44	29	
18	23	42	44	35	
19	32	44	49	33	
26	31	56	37	39	
26	25	51	39	29	
21	34	40	41	32	
20	31	34	32	35	
24	23	43	36	31	
14	33	60	44	31	
24	27	48	49	43	
31	39	46	43	43	
25	34	42	43	32	
23	32	43	60	31	
26	23	56	35	25	
30	30	48	34	43	
19	38	46	41	29	
24	34	43	36	30	
23	36	42	43	34	
30	27	43	46	30	
21	29	41	42	40	
23	32	48	38	39	
33	29	31	46	32	
25	42	34	50	29	
24	24	41	39	40	
22	31	51	43	28	
25	30	56	46	33	
21	30	38	37	27	
24	22	50	51	32	
17	32	42	48	29	
25	32	40	44	33	
26	30	51	36	29	
25	33	36	35	37	
23	27	34	39	34	
23	38	41	53	40	
20	21	57	49	33	
17	25	40	36	32	
22	27	47	40	39	
22	35	41	47	46	
25	41	47	40	36	
15	31	52	47	28	
20	27	47	45	40	
25	28	55	45	36	
16	25	52	43	48	
27	23	63	47	37	
21	36	49	42	39	
24	34	52	40	42	
19	28	36	32	31	
23	34	41	38	40	
17	31	43	42	37	
30	31	46	36	37	
17	34	47	61	31	
27	32	69	43	29	
24	24	50	40	26	
12	33	35	28	25	
20	27	38	41	42	
20	27	56	44	37	
23	38	47	41	40	
23	30	43	51	29	
18	33	60	35	22	
18	37	36	38	37	
20	35	49	33	28	
21	24	55	38	28	
23	29	43	41	25	
17	23	33	47	35	
28	27	41	32	31	
20	44	54	48	43	
17	17	42	57	31	
28	36	32	34	38	
17	32	48	47	39	
17	32	41	42	31	
25	28	55	35	30	
26	28	40	39	26	
22	32	25	53	45	
15	27	40	35	29	
17	24	37	45	27	
18	26	37	35	35	
30	29	43	50	36	
24	25	60	35	37	
22	29	40	48	26	
18	29	38	41	43	
17	39	42	43	37	
12	35	36	40	23	
22	24	44	37	26	
15	27	41	42	43	
20	30	30	40	29	
20	26	45	47	30	
23	31	31	42	37	
18	33	37	40	29	
17	30	43	46	30	
21	29	32	43	26	
18	36	46	26	41	
18	30	47	49	32	
20	32	39	45	46	
15	31	43	35	23	
20	17	34	47	36	
19	20	40	49	34	
32	25	51	47	35	
19	29	50	43	36	
19	24	49	47	21	
20	32	52	38	44	
24	26	37	40	42	
20	30	50	44	34	
25	25	57	43	38	
22	22	50	31	28	
21	28	45	46	36	
20	26	57	33	38	
25	32	34	49	37	
22	41	37	47	44	
24	22	35	35	43	
19	31	47	47	31	
23	26	40	52	30	
18	17	40	36	39	
15	31	50	48	28	
17	31	46	41	46	
24	30	62	50	24	
21	30	48	48	34	
21	30	46	43	34	
22	25	42	52	38	
24	35	44	40	39	
25	25	32	42	29	
21	26	41	29	36	
22	22	40	36	33	
12	35	37	43	40	
19	22	48	46	38	
20	31	47	43	27	
21	33	40	49	43	
18	24	41	51	37	
15	33	42	41	46	
27	37	46	41	32	
29	27	42	42	29	
19	20	51	52	36	
25	28	43	35	32	
20	21	47	47	34	
19	32	35	47	31	
17	25	40	48	28	
25	34	38	35	32	
25	39	49	39	31	
11	28	48	40	32	
16	22	53	31	33	
17	27	43	44	29	
27	28	39	26	34	
19	23	46	31	28	
18	22	47	41	40	
22	25	40	36	37	
27	21	45	53	34	
14	35	45	38	32	
25	28	44	46	30	
18	28	44	48	40	
22	23	41	43	25	
28	32	40	36	34	
16	36	41	43	46	
23	38	45	44	33	
15	23	41	43	32	
20	26	47	41	35	
21	27	52	43	36	
24	27	41	40	30	
26	33	51	36	31	
22	36	41	39	37	
17	28	32	49	30	
24	24	36	38	25	
18	26	38	33	38	
20	30	35	41	35	
17	25	36	47	39	
20	23	46	30	35	
18	40	45	53	44	
25	29	36	49	32	
24	27	40	34	31	
25	36	47	39	36	
19	26	55	34	28	
21	31	42	45	26	
24	32	34	42	30	
27	23	45	38	32	
20	35	36	45	39	
20	29	47	36	36	
23	33	35	47	31	
17	32	48	54	40	
15	37	68	38	37	
19	27	50	41	40	
18	27	37	38	38	
24	27	35	42	29	
