Labels	APTMethylS_Br25_1	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

401.367190	6.40000000E+1	
401.855470	6.50000000E+1	
402.343750	7.20000000E+1	
402.83200	5.40000000E+1	
403.320310	6.20000000E+1	
403.808590	6.40000000E+1	
404.296880	6.00000000E+1	
404.785160	5.70000000E+1	
405.273440	6.90000000E+1	
405.761720	5.00000000E+1	
406.2500	5.20000000E+1	
406.738280	7.20000000E+1	
407.226560	6.10000000E+1	
407.714840	5.30000000E+1	
408.203130	5.40000000E+1	
408.691410	5.60000000E+1	
409.179690	6.90000000E+1	
409.66800	4.20000000E+1	
410.156250	5.80000000E+1	
410.644530	5.20000000E+1	
411.132810	7.00000000E+1	
411.621090	7.00000000E+1	
412.109380	5.50000000E+1	
412.597660	5.20000000E+1	
413.085940	6.30000000E+1	
413.574220	6.20000000E+1	
414.062500	4.90000000E+1	
414.550780	5.90000000E+1	
415.039060	5.60000000E+1	
415.527340	6.10000000E+1	
416.015630	4.70000000E+1	
416.503910	5.30000000E+1	
416.992190	6.30000000E+1	
417.480470	5.70000000E+1	
417.968750	6.00000000E+1	
418.45700	6.50000000E+1	
418.945310	5.60000000E+1	
419.433590	6.50000000E+1	
419.921880	4.70000000E+1	
420.410160	5.70000000E+1	
420.898440	5.30000000E+1	
421.386720	6.30000000E+1	
421.87500	5.60000000E+1	
422.363280	6.60000000E+1	
422.851560	5.80000000E+1	
423.339840	5.10000000E+1	
423.828130	5.50000000E+1	
424.316410	5.70000000E+1	
424.804690	5.20000000E+1	
425.29300	5.20000000E+1	
425.781250	7.00000000E+1	
426.269530	5.60000000E+1	
426.757810	7.40000000E+1	
427.246090	4.70000000E+1	
427.734380	4.60000000E+1	
428.222660	5.70000000E+1	
428.710940	5.30000000E+1	
429.199220	5.30000000E+1	
429.687500	5.20000000E+1	
430.175780	5.30000000E+1	
430.664060	6.30000000E+1	
431.152340	5.40000000E+1	
431.640630	6.00000000E+1	
432.128910	4.70000000E+1	
432.617190	5.30000000E+1	
433.105470	5.90000000E+1	
433.593750	6.50000000E+1	
434.08200	5.80000000E+1	
434.570310	6.60000000E+1	
435.058590	6.00000000E+1	
435.546880	4.60000000E+1	
436.035160	4.80000000E+1	
