Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
25.472,40,51,29,67,71,70,35,45,38,58,51,30,45,35,38,50,42,41
25.6,53,53,34,74,73,57,50,55,20,64,44,24,41,43,31,49,52,48
25.728,61,55,45,65,50,58,55,42,26,61,45,39,44,39,32,53,52,42
25.856,44,53,31,63,52,62,55,35,42,47,54,41,34,43,27,47,38,43
25.984,46,54,36,71,62,77,57,43,31,53,39,45,47,28,31,51,55,38
26.112,40,47,33,62,65,78,49,46,37,67,35,41,36,39,27,54,60,46
26.24,55,54,51,56,62,55,38,35,40,58,44,53,34,30,27,54,44,42
26.368,59,50,41,58,55,55,45,36,48,53,43,36,40,29,23,47,50,46
26.496,53,47,38,64,66,50,54,53,37,69,50,39,54,39,31,54,49,50
26.624,56,47,37,71,61,76,36,45,33,65,46,30,49,38,30,46,39,53
26.752,53,46,41,72,46,57,41,38,31,58,37,30,48,40,23,56,32,41
26.88,64,52,42,63,65,69,42,39,38,61,40,40,35,29,29,58,43,39
27.008,67,57,43,57,63,59,33,60,41,52,45,34,35,33,24,49,52,40
27.136,56,64,38,62,60,58,59,38,38,45,36,28,39,28,23,57,55,37
27.264,53,53,44,65,71,71,52,46,37,44,52,39,26,27,23,46,45,36
27.392,52,51,36,69,53,44,38,39,37,59,44,42,38,41,35,53,40,50
27.52,53,54,31,62,57,60,44,47,37,58,52,43,37,35,22,45,42,38
27.648,54,53,25,61,54,63,45,38,48,58,40,38,37,31,22,41,53,36
27.776,52,60,28,64,51,64,59,44,26,66,33,34,36,38,28,47,42,41
27.904,42,51,29,63,64,52,57,39,38,51,40,36,42,42,25,52,41,47
28.032,44,62,35,62,58,68,43,43,26,66,35,30,43,35,30,45,48,34
28.16,61,39,40,70,50,57,54,45,36,41,46,35,23,27,30,49,46,39
28.288,51,45,30,60,60,49,43,44,43,51,57,35,35,31,30,33,40,47
28.416,53,41,29,58,57,77,46,48,39,60,32,28,50,25,36,46,49,45
28.544,51,43,34,58,60,52,51,49,33,51,44,28,31,25,26,48,40,46
28.672,51,56,37,47,58,76,36,35,28,51,45,44,47,30,34,42,45,42
28.8,55,58,32,52,69,66,44,42,46,59,50,39,40,31,23,51,49,34
28.928,51,46,36,47,49,45,43,59,40,52,41,37,26,31,28,31,32,50
29.056,38,54,29,59,52,63,49,39,42,46,47,34,49,30,24,48,43,41
29.184,49,39,36,58,60,79,57,38,27,53,34,27,33,33,20,42,43,38
29.312,54,67,42,54,53,72,48,42,31,50,46,30,25,36,33,45,33,35
29.44,50,54,35,52,58,47,45,54,39,49,44,29,41,26,21,48,43,48
29.568,49,59,32,71,64,62,45,43,39,61,36,30,37,23,23,53,50,44
29.696,43,37,40,63,53,58,51,44,25,55,37,35,35,28,27,49,48,55
29.824,60,48,35,55,71,68,54,35,31,41,37,30,39,32,32,53,32,47
29.952,57,48,33,64,62,55,47,48,36,50,36,21,34,30,21,48,48,37
30.08,53,56,38,50,70,61,42,48,35,49,32,43,34,29,24,49,32,42
30.208,48,46,32,51,63,71,51,48,39,50,39,34,41,43,30,36,44,41
30.336,62,47,34,59,62,70,42,48,33,48,53,36,31,35,29,40,45,43
30.464,50,51,27,59,62,49,42,53,37,56,44,34,38,21,26,53,45,41
30.592,59,52,33,49,50,54,33,37,33,44,49,38,37,28,33,44,41,40
30.72,59,49,33,65,45,74,40,44,30,54,50,37,41,37,25,38,47,30
30.848,46,55,50,58,58,58,39,38,28,41,46,36,41,33,24,44,45,41
30.976,41,43,38,36,48,61,46,45,32,50,31,35,43,26,21,55,43,45
31.104,50,54,37,43,51,53,59,37,40,49,38,27,40,42,24,42,45,49
31.232,55,52,46,62,59,54,46,45,41,50,45,36,49,35,18,40,43,36
31.36,47,49,38,58,55,51,40,36,32,61,39,39,35,33,19,25,48,41
31.488,51,33,32,47,62,67,45,51,36,47,33,23,27,28,26,45,42,35
31.616,64,41,32,49,69,61,48,32,36,62,41,35,38,34,23,45,35,35
31.744,62,61,25,61,49,65,42,48,33,57,49,31,42,18,19,46,41,42
31.872,41,54,32,57,58,50,49,45,28,57,46,39,32,32,28,39,42,37
32,47,46,38,61,60,47,46,42,29,49,34,22,37,27,26,46,28,41
32.128,50,56,31,62,46,74,46,34,34,46,51,33,34,26,27,57,43,29
32.256,54,66,29,55,53,47,41,38,36,47,37,49,30,20,30,42,42,33
32.384,52,43,27,67,67,80,38,39,31,36,51,33,31,39,20,42,49,37
32.512,47,71,38,50,47,47,48,46,33,45,50,22,47,35,24,53,40,43
32.64,53,65,32,48,60,56,48,31,30,46,43,39,28,32,24,49,46,40
32.768,44,47,42,53,57,65,43,30,33,52,36,40,36,30,23,38,67,30
32.896,47,48,33,55,51,61,43,38,38,55,42,36,26,31,34,48,39,39
33.024,37,66,22,70,51,55,43,45,26,41,44,27,44,25,21,30,41,46
33.152,55,46,29,60,51,61,40,48,24,49,45,37,45,30,25,50,42,39
33.28,46,39,31,55,48,62,40,38,28,46,37,26,29,28,26,42,43,29
33.408,40,50,35,57,70,47,41,36,35,52,39,33,37,29,23,42,29,27
33.536,43,42,32,52,44,73,50,35,22,47,34,33,35,24,22,45,39,36
33.664,56,47,34,56,58,55,45,32,21,53,43,41,35,24,20,44,39,37
33.792,41,46,30,48,62,53,46,44,33,44,47,33,34,26,37,47,42,39
33.92,47,45,27,45,48,51,46,52,31,36,50,33,33,18,25,38,37,37
34.048,52,54,38,47,57,52,40,42,45,40,41,33,31,23,27,44,41,45
34.176,26,58,31,57,67,69,48,48,36,49,52,34,27,24,24,47,44,39
34.304,48,55,35,54,49,56,38,35,27,38,38,25,38,27,18,40,32,37
34.432,32,49,34,60,60,79,45,39,33,46,36,33,29,25,21,47,30,31
34.56,47,45,35,50,51,65,38,36,26,47,34,34,36,36,20,43,27,26
34.688,52,46,32,70,55,56,38,38,19,46,34,38,35,26,24,45,34,48
34.816,44,47,38,54,64,55,46,33,41,50,30,31,40,27,23,54,35,39
34.944,35,47,36,64,51,60,48,39,34,46,56,39,32,32,19,31,26,40
35.072,36,58,41,63,52,56,53,38,28,48,36,29,30,36,15,39,41,34
35.2,41,43,39,61,53,61,36,46,31,43,42,30,31,33,14,43,40,35
35.328,46,45,43,57,45,66,42,47,26,47,47,27,32,29,21,37,34,45
35.456,43,55,21,51,44,58,36,45,35,48,45,33,30,25,30,47,34,56
35.584,56,47,29,49,43,46,40,31,36,50,34,38,24,30,23,47,39,30
35.712,59,40,32,53,58,55,53,26,28,60,28,28,36,31,19,32,34,37
35.84,43,56,32,53,44,49,33,45,29,51,41,40,33,23,21,31,41,40
35.968,35,39,36,56,53,62,37,27,31,49,39,26,38,30,24,54,40,37
36.096,39,56,32,50,63,63,47,33,47,55,33,31,22,28,22,29,33,38
36.224,49,42,27,49,52,59,46,46,33,50,36,37,36,37,14,41,32,26
36.352,55,45,36,45,64,69,32,40,26,47,25,24,33,24,21,40,25,37
36.48,42,50,34,53,47,61,50,44,41,47,34,31,35,28,20,33,34,40
36.608,51,49,40,54,56,72,40,46,34,46,39,36,34,20,16,46,39,36
36.736,46,36,19,57,52,79,34,32,32,44,36,31,33,24,15,34,28,34
36.864,53,58,26,65,50,58,42,42,31,47,47,35,35,28,18,30,37,26
36.992,45,45,19,59,54,66,34,38,32,43,38,33,26,34,18,35,41,33
37.12,52,49,30,45,53,52,44,36,39,48,32,37,27,19,22,42,41,43
